block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
24,hybrid,0.5,19,9,False,1,3.6685171157786667,3.445794837746996,3.445794837746996,1531.371868959587,69.99999999999994,0.0002843733333333333,hybrid(lambda=0.5)
25,hybrid,0.5,1,8,False,1,4.196508174859806,4.683814904662713,4.683814904662713,1447.4787204234237,62.99999999999992,0.0002843733333333333,hybrid(lambda=0.5)
26,hybrid,0.5,5,11,True,2,3.494392328289089,4.638070718946978,4.638070718946978,2164.993493757252,83.99999999999994,0.0002843733333333333,hybrid(lambda=0.5)
27,hybrid,0.5,5,6,False,1,3.566340719518773,3.7731231880268146,3.7731231880268146,541.6089017150982,48.999999999999936,0.0002843733333333333,hybrid(lambda=0.5)
28,hybrid,0.5,5,40,False,1,3.490509704334013,3.633539715250964,3.633539715250964,8705.842343127819,280.0,0.0002843733333333333,hybrid(lambda=0.5)
29,hybrid,0.5,24,33,False,1,3.717534503164047,4.38070559102003,4.38070559102003,7560.045973114513,238.00000000000006,0.00028816497777777773,hybrid(lambda=0.5)
30,hybrid,0.5,15,19,False,1,3.1592564173632325,3.537302385801082,3.537302385801082,3930.0242632026866,140.00000000000006,0.00028816497777777773,hybrid(lambda=0.5)
31,hybrid,0.5,22,22,True,2,3.9574438797916986,3.706352049796943,3.706352049796943,3800.840741917759,161.0000000000001,0.00028816497777777773,hybrid(lambda=0.5)
32,hybrid,0.5,24,25,False,1,4.129471200018802,5.443807801269997,5.443807801269997,5617.535913284451,182.00000000000009,0.00028816497777777773,hybrid(lambda=0.5)
33,hybrid,0.5,5,9,False,1,3.5795787747560577,3.7327051909078657,3.7327051909078657,1314.0090517858803,69.99999999999993,0.00028816497777777773,hybrid(lambda=0.5)
34,hybrid,0.5,7,9,False,1,3.473347381616912,3.601565305117487,3.601565305117487,1372.72754476296,69.99999999999993,0.00028816497777777773,hybrid(lambda=0.5)
35,hybrid,0.5,7,10,False,1,3.799451677627987,4.043300217316938,4.043300217316938,1645.9792807760664,76.99999999999994,0.00028816497777777773,hybrid(lambda=0.5)
36,hybrid,0.5,16,22,False,1,3.259894389830005,3.3806745773617966,3.3806745773617966,4393.983720232679,161.00000000000006,0.00028816497777777773,hybrid(lambda=0.5)
37,hybrid,0.5,19,25,False,1,3.9190691587331514,3.637232089522291,3.637232089522291,3909.6895602914365,182.00000000000006,0.00028816497777777773,hybrid(lambda=0.5)
38,hybrid,0.5,16,7,False,1,3.701220731819228,3.830584274068454,3.830584274068454,1181.7836147130797,55.99999999999996,0.00028816497777777773,hybrid(lambda=0.5)
39,hybrid,0.5,16,9,False,1,3.0910351051528213,3.8333694005276153,3.8333694005276153,1686.6503115346995,69.99999999999996,0.0003016126767407407,hybrid(lambda=0.5)
0,hybrid,1.0,26,10,False,1,4.580041454786828,4.261220393619304,4.261220393619304,1618.6447493701642,76.99999999999997,0.0002,hybrid(lambda=1.0)
1,hybrid,1.0,3,40,False,1,3.264217291378971,3.7923650618174145,3.7923650618174145,9078.323097324475,279.9999999999999,0.0002,hybrid(lambda=1.0)
2,hybrid,1.0,5,39,False,1,3.5734917402412454,3.9456663100356346,3.9456663100356346,8452.63546481079,279.99999999999994,0.0002,hybrid(lambda=1.0)
3,hybrid,1.0,24,17,False,1,3.490075808819519,3.8302293679971338,3.8302293679971338,3334.9716229176634,126.00000000000004,0.0002,hybrid(lambda=1.0)
4,hybrid,1.0,1,40,False,1,3.1520359190336946,3.3650184307498394,3.3650184307498394,8682.260782029525,280.0,0.0002,hybrid(lambda=1.0)
5,hybrid,1.0,24,27,False,1,3.313108908566387,3.6451493392143464,3.6451493392143464,5879.399994836,196.00000000000006,0.0002,hybrid(lambda=1.0)
6,hybrid,1.0,14,4,False,1,4.717518583014589,4.329640671547056,4.329640671547056,499.20249967736015,34.99999999999997,0.0002,hybrid(lambda=1.0)
7,hybrid,1.0,7,39,False,1,3.6887420228930408,4.188062550612397,4.188062550612397,9087.729707110944,280.00000000000006,0.0002,hybrid(lambda=1.0)
8,hybrid,1.0,0,21,False,1,3.5755346272546835,4.363765807746356,4.363765807746356,4628.644164171738,154.00000000000003,0.0002,hybrid(lambda=1.0)
9,hybrid,1.0,16,11,False,1,3.8578016474852657,4.231841108270443,4.231841108270443,1868.3652525553493,83.99999999999997,0.00033066666666666666,hybrid(lambda=1.0)
10,hybrid,1.0,16,13,False,1,3.468273336495018,3.436248267852691,3.436248267852691,1671.2097120564938,98.0,0.00033066666666666666,hybrid(lambda=1.0)
11,hybrid,1.0,16,14,False,1,3.3696070920785264,3.4530939817585136,3.4530939817585136,2147.1992320530476,105.00000000000001,0.00033066666666666666,hybrid(lambda=1.0)
12,hybrid,1.0,16,17,False,1,3.6222545791429015,3.7571183071317593,3.7571183071317593,3116.276816636484,126.00000000000004,0.00033066666666666666,hybrid(lambda=1.0)
13,hybrid,1.0,7,11,False,1,3.453526176789639,4.133875582485308,4.133875582485308,2164.993493757252,83.99999999999997,0.00033066666666666666,hybrid(lambda=1.0)
14,hybrid,1.0,14,24,True,2,4.081941942580086,4.851432511185868,4.851432511185868,5310.286289278781,175.00000000000009,0.00033066666666666666,hybrid(lambda=1.0)
15,hybrid,1.0,7,2,False,1,3.6618309264967275,3.505940095471222,3.505940095471222,119.97050313088232,20.99999999999999,0.00033066666666666666,hybrid(lambda=1.0)
16,hybrid,1.0,15,28,False,1,2.9939684198898586,2.9939684198898586,2.9939684198898586,5625.251787835297,203.00000000000006,0.00033066666666666666,hybrid(lambda=1.0)
